lambda,r,capture_rate,mean_cost,mean_plan_time,trials
0.25,2,0.75,68.5,0.5284717627257898,4
0.25,3,0.75,87.5,0.5715183466008674,4
0.25,4,0.0,116.0,0.614538939131459,4
0.25,5,0.0,116.25,0.594615677517214,4
0.25,6,0.0,116.5,0.6039818461541278,4
0.25,7,0.0,105.5,0.5713086706928894,4
0.25,8,0.25,110.0,0.644738851086034,4
0.25,9,0.0,132.0,0.5919207302758878,4
0.25,10,0.0,130.25,0.5645038000025124,4
0.5,2,0.5,82.75,0.5407848382903213,4
0.5,3,0.5,95.5,0.5991171841560474,4
0.5,4,0.25,116.25,0.5206989171870948,4
0.5,5,0.0,116.75,0.539060814844586,4
0.5,6,0.0,116.25,0.5255476654296773,4
0.5,7,0.0,105.5,0.5429673574616285,4
0.5,8,0.25,111.0,0.5293000045295165,4
0.5,9,0.0,130.0,0.5805381804711942,4
0.5,10,0.0,129.5,0.5919300378895969,4
0.75,2,0.25,93.0,0.5507056334674494,4
0.75,3,0.5,95.5,0.5179852910018445,4
0.75,4,0.25,116.25,0.5538210108512531,4
0.75,5,0.0,116.75,0.542832304668208,4
0.75,6,0.0,116.25,0.5476706404884796,4
0.75,7,0.0,105.5,0.5140765651290908,4
0.75,8,0.25,111.0,0.5733853718969948,4
0.75,9,0.0,130.0,0.5812412757798029,4
0.75,10,0.0,129.5,0.5465374621085175,4
1.0,2,0.25,93.0,0.4743233593336279,4
1.0,3,0.5,95.5,0.5792215804273644,4
1.0,4,0.25,116.25,0.5613226406481873,4
1.0,5,0.0,116.75,0.5395228917347796,4
1.0,6,0.0,115.5,0.4895977564192147,4
1.0,7,0.0,105.5,0.5517749628735121,4
1.0,8,0.25,111.0,0.561578166835915,4
1.0,9,0.0,130.0,0.5467356238268621,4
1.0,10,0.0,129.5,0.49164476914188526,4
1.5,2,0.25,93.0,0.5029779215609725,4
1.5,3,0.5,96.75,0.5525591736268933,4
1.5,4,0.25,116.25,0.5638092565525059,4
1.5,5,0.0,116.75,0.4601587384343525,4
1.5,6,0.0,115.5,0.5233062620697612,4
1.5,7,0.0,105.5,0.5345782861818718,4
1.5,8,0.25,111.0,0.5338205168207445,4
1.5,9,0.0,130.0,0.47452447636214856,4
1.5,10,0.0,129.5,0.5890853382820751,4
2.0,2,0.25,93.0,0.5609935133581789,4
2.0,3,0.5,96.75,0.5018132936504204,4
2.0,4,0.25,116.25,0.4649837226340373,4
2.0,5,0.0,116.75,0.5311153486983484,4
2.0,6,0.0,115.5,0.513277801999445,4
2.0,7,0.0,105.5,0.4906851845533454,4
2.0,8,0.25,111.0,0.48846824776307285,4
2.0,9,0.0,130.0,0.5804985960951399,4
2.0,10,0.0,129.5,0.5321296216786777,4
